(25, 24)
(25, 25)
(26, 21)
(26, 22)
(26, 23)
(26, 24)
(26, 25)
(26, 26)
(26, 27)
(27, 19)
(27, 20)
(27, 21)
(27, 22)
(27, 23)
(27, 26)
(27, 27)
(27, 28)
(27, 29)
(28, 18)
(28, 19)
(28, 20)
(28, 28)
(28, 29)
(28, 30)
(29, 16)
(29, 17)
(29, 18)
(29, 30)
(29, 31)
(30, 15)
(30, 16)
(30, 17)
(30, 31)
(30, 32)
(30, 33)
(30, 34)
(30, 35)
(30, 36)
(30, 37)
(30, 38)
(31, 14)
(31, 15)
(31, 32)
(31, 33)
(31, 34)
(31, 35)
(31, 36)
(31, 37)
(31, 38)
(31, 39)
(31, 40)
(32, 14)
(32, 15)
(32, 39)
(32, 40)
(32, 41)
(33, 13)
(33, 14)
(33, 40)
(33, 41)
(34, 13)
(34, 14)
(34, 16)
(34, 17)
(34, 41)
(34, 42)
(35, 13)
(35, 14)
(35, 15)
(35, 16)
(35, 17)
(35, 18)
(35, 23)
(35, 42)
(35, 43)
(36, 13)
(36, 14)
(36, 16)
(36, 17)
(36, 22)
(36, 23)
(36, 24)
(36, 43)
(36, 44)
(37, 13)
(37, 14)
(37, 23)
(37, 38)
(37, 39)
(37, 43)
(37, 44)
(38, 13)
(38, 14)
(38, 37)
(38, 38)
(38, 39)
(38, 40)
(38, 43)
(38, 44)
(39, 13)
(39, 14)
(39, 36)
(39, 37)
(39, 39)
(39, 40)
(39, 43)
(39, 44)
(40, 13)
(40, 14)
(40, 36)
(40, 37)
(40, 38)
(40, 39)
(40, 43)
(40, 44)
(41, 13)
(41, 14)
(41, 35)
(41, 36)
(41, 37)
(41, 38)
(41, 43)
(41, 44)
(42, 14)
(42, 15)
(42, 35)
(42, 36)
(42, 37)
(42, 43)
(42, 44)
(43, 15)
(43, 16)
(43, 35)
(43, 36)
(43, 37)
(43, 42)
(43, 43)
(44, 16)
(44, 17)
(44, 36)
(44, 42)
(44, 43)
(45, 17)
(45, 18)
(45, 41)
(45, 42)
(46, 18)
(46, 19)
(46, 20)
(46, 21)
(46, 22)
(46, 23)
(46, 40)
(46, 41)
(47, 19)
(47, 20)
(47, 21)
(47, 22)
(47, 23)
(47, 24)
(47, 25)
(47, 26)
(47, 27)
(47, 28)
(47, 29)
(47, 38)
(47, 39)
(47, 40)
(48, 24)
(48, 25)
(48, 26)
(48, 27)
(48, 28)
(48, 29)
(48, 30)
(48, 31)
(48, 32)
(48, 33)
(48, 34)
(48, 35)
(48, 36)
(48, 37)
(48, 38)
(48, 39)
(49, 30)
(49, 31)
(49, 32)
(49, 33)
(49, 34)
(49, 35)
(49, 36)
(49, 37)
