(19, 30)
(19, 31)
(19, 32)
(20, 28)
(20, 29)
(20, 30)
(20, 32)
(20, 33)
(21, 26)
(21, 27)
(21, 28)
(21, 33)
(21, 34)
(22, 24)
(22, 25)
(22, 35)
(23, 23)
(23, 24)
(23, 36)
(23, 37)
(24, 22)
(24, 37)
(24, 38)
(25, 21)
(25, 38)
(25, 39)
(26, 20)
(26, 21)
(26, 39)
(27, 20)
(27, 39)
(27, 40)
(28, 19)
(28, 20)
(28, 39)
(28, 40)
(29, 19)
(29, 20)
(29, 40)
(30, 19)
(30, 40)
(30, 41)
(31, 19)
(31, 40)
(31, 41)
(32, 18)
(32, 19)
(32, 40)
(32, 41)
(33, 18)
(33, 19)
(33, 41)
(34, 18)
(34, 40)
(34, 41)
(35, 18)
(35, 40)
(36, 18)
(36, 19)
(36, 39)
(36, 40)
(37, 19)
(37, 20)
(37, 38)
(37, 39)
(38, 36)
(38, 37)
(38, 38)
(39, 21)
(39, 34)
(39, 35)
(39, 36)
(40, 21)
(40, 22)
(40, 33)
(40, 34)
(41, 22)
(41, 23)
(41, 30)
(41, 31)
(41, 32)
(42, 24)
(42, 25)
(42, 26)
(42, 27)
(42, 28)
(42, 29)
