(27, 26)
(27, 27)
(27, 28)
(27, 29)
(27, 30)
(27, 31)
(27, 32)
(27, 33)
(27, 34)
(28, 24)
(28, 25)
(28, 26)
(28, 32)
(28, 33)
(28, 34)
(28, 35)
(28, 36)
(28, 37)
(29, 23)
(29, 24)
(29, 37)
(29, 38)
(29, 39)
(30, 23)
(30, 39)
(30, 40)
(31, 22)
(31, 40)
(31, 41)
(32, 21)
(32, 22)
(32, 40)
(32, 41)
(33, 21)
(33, 41)
(33, 44)
(34, 20)
(34, 21)
(34, 41)
(34, 42)
(34, 44)
(34, 45)
(35, 20)
(35, 41)
(35, 42)
(35, 43)
(35, 44)
(36, 20)
(36, 41)
(36, 42)
(36, 44)
(37, 20)
(37, 42)
(37, 43)
(37, 44)
(38, 20)
(38, 41)
(38, 42)
(38, 43)
(38, 44)
(39, 21)
(39, 41)
(39, 42)
(39, 43)
(39, 44)
(40, 21)
(40, 41)
(40, 42)
(40, 43)
(40, 44)
(41, 22)
(41, 40)
(41, 41)
(41, 42)
(42, 23)
(42, 39)
(42, 40)
(42, 41)
(43, 24)
(43, 38)
(43, 39)
(44, 25)
(44, 36)
(44, 37)
(44, 38)
(45, 26)
(45, 27)
(45, 28)
(45, 29)
(45, 32)
(45, 33)
(45, 34)
(45, 35)
(45, 36)
(46, 29)
(46, 30)
(46, 31)
(46, 32)
(46, 33)
