(25, 42)
(25, 43)
(25, 44)
(25, 46)
(25, 47)
(26, 41)
(26, 42)
(26, 43)
(26, 44)
(26, 45)
(26, 46)
(26, 47)
(26, 48)
(27, 38)
(27, 39)
(27, 40)
(27, 41)
(27, 42)
(27, 43)
(27, 45)
(27, 46)
(27, 47)
(27, 48)
(27, 49)
(28, 37)
(28, 38)
(28, 39)
(28, 40)
(28, 41)
(28, 43)
(28, 44)
(28, 46)
(28, 47)
(28, 48)
(28, 49)
(29, 37)
(29, 38)
(29, 39)
(29, 40)
(29, 44)
(29, 45)
(29, 46)
(29, 47)
(29, 48)
(29, 49)
(29, 50)
(30, 37)
(30, 38)
(30, 39)
(30, 40)
(30, 43)
(30, 44)
(30, 45)
(30, 46)
(30, 47)
(30, 49)
(30, 50)
(30, 51)
(31, 37)
(31, 38)
(31, 39)
(31, 40)
(31, 41)
(31, 42)
(31, 43)
(31, 44)
(31, 46)
(31, 47)
(31, 50)
(31, 51)
(31, 52)
(32, 35)
(32, 38)
(32, 39)
(32, 40)
(32, 43)
(32, 44)
(32, 45)
(32, 46)
(32, 50)
(32, 51)
(32, 52)
(33, 33)
(33, 34)
(33, 35)
(33, 36)
(33, 44)
(33, 45)
(33, 46)
(33, 50)
(33, 51)
(34, 32)
(34, 33)
(34, 34)
(34, 35)
(34, 36)
(34, 44)
(34, 45)
(34, 46)
(34, 47)
(34, 48)
(34, 49)
(34, 50)
(34, 51)
(35, 31)
(35, 32)
(35, 33)
(35, 34)
(35, 35)
(35, 36)
(35, 44)
(35, 45)
(35, 46)
(35, 47)
(35, 48)
(35, 49)
(35, 50)
(36, 32)
(36, 34)
(36, 35)
(36, 36)
(36, 41)
(36, 42)
(36, 43)
(36, 44)
(36, 45)
(36, 46)
(36, 47)
(36, 48)
(36, 49)
(37, 32)
(37, 34)
(37, 35)
(37, 36)
(37, 37)
(37, 38)
(37, 40)
(37, 41)
(37, 42)
(37, 43)
(37, 44)
(37, 45)
(37, 46)
(37, 47)
(38, 31)
(38, 32)
(38, 33)
(38, 34)
(38, 35)
(38, 36)
(38, 37)
(38, 38)
(38, 39)
(38, 40)
(38, 41)
(38, 42)
(38, 43)
(38, 44)
(38, 46)
(38, 47)
(38, 48)
(39, 32)
(39, 33)
(39, 34)
(39, 36)
(39, 37)
(39, 38)
(39, 39)
(39, 41)
(39, 42)
(39, 47)
(39, 48)
(39, 49)
(40, 32)
(40, 33)
(40, 35)
(40, 36)
(40, 37)
(40, 39)
(40, 40)
(40, 41)
(40, 42)
(40, 45)
(40, 47)
(40, 48)
(40, 49)
(41, 33)
(41, 34)
(41, 35)
(41, 36)
(41, 38)
(41, 39)
(41, 40)
(41, 41)
(41, 44)
(41, 45)
(41, 46)
(41, 47)
(41, 48)
(41, 49)
(42, 34)
(42, 35)
(42, 36)
(42, 37)
(42, 38)
(42, 39)
(42, 40)
(42, 41)
(42, 42)
(42, 45)
(42, 46)
(42, 47)
(42, 48)
(43, 34)
(43, 35)
(43, 36)
(43, 37)
(43, 39)
(43, 40)
(43, 41)
(43, 42)
(43, 43)
(43, 44)
(43, 45)
(43, 46)
(43, 47)
(44, 35)
(44, 36)
(44, 37)
(44, 38)
(44, 39)
(44, 40)
(44, 41)
(44, 43)
(44, 44)
(44, 45)
(44, 46)
(45, 38)
(45, 39)
(45, 40)
(45, 41)
(45, 42)
(45, 43)
(45, 44)
(45, 45)
(46, 39)
(46, 40)
(46, 41)
(46, 42)
